TransactionID,Time,Amount,TransactionType,AccountBalance,Age,Location,PreviousFrauds,Fraud
4616,23989,878.83,Online,97261.69,34,Rural,4,0
4629,22250,2120.23,Online,36943.21,78,Urban,3,0
2452,83986,2516.39,ATM Withdrawal,87616.31,68,Suburban,1,0
2847,55915,4863.47,In-store,88871.99,22,Urban,4,0
1145,55106,2895.25,In-store,71993.54,43,Rural,2,0
3079,79190,3677.66,Online,83503.09,79,Urban,3,0
1104,62823,2357.07,Online,33983.44,32,Rural,2,0
169,61087,798.96,In-store,1813.45,54,Urban,2,0
1671,62046,4388.58,In-store,46506.91,41,Rural,4,1
2571,8329,1341.98,In-store,78231.91,38,Rural,2,0
2378,57713,1015.16,ATM Withdrawal,93839.89,42,Suburban,3,0
4396,670,3297.09,In-store,97373.92,52,Urban,2,0
4258,23199,3886.24,In-store,41117.47,65,Urban,4,0
3863,34148,4871.77,Online,53099.26,20,Rural,4,0
24,71932,1231.97,ATM Withdrawal,61243.76,19,Rural,3,0
2634,40785,1026.9,In-store,97805.62,77,Urban,3,0
3341,25518,3505.36,ATM Withdrawal,38805.42,58,Rural,1,0
2216,7967,4090.91,In-store,58238.78,76,Rural,0,0
3683,67468,4227.91,In-store,13294.67,50,Rural,0,0
4725,28018,4635.02,In-store,51014.48,37,Urban,4,0
1908,24089,4880.45,ATM Withdrawal,67273.39,35,Rural,1,0
85,48984,4496.4,Online,46615.31,45,Rural,4,0
228,85981,1733.45,Online,76523.73,32,Suburban,3,0
297,74543,28.02,ATM Withdrawal,97937.07,54,Rural,3,0
1002,46197,2688.39,Online,95471.14,79,Urban,1,0
2139,18752,4275.97,In-store,23228.56,19,Urban,1,0
712,58017,3497.0,ATM Withdrawal,12753.18,41,Suburban,3,0
2802,20095,2515.72,ATM Withdrawal,95861.53,69,Suburban,2,0
2528,28731,2520.06,ATM Withdrawal,85842.14,58,Suburban,4,0
3753,43463,1921.42,In-store,73903.71,76,Urban,3,0
3322,18354,4838.73,Online,90926.78,18,Suburban,3,0
3182,11120,2545.2,In-store,21392.4,74,Suburban,4,0
4184,38506,1306.96,Online,37417.5,44,Suburban,1,0
1616,7424,4629.21,In-store,7731.58,34,Rural,2,0
3025,56044,1826.77,In-store,75127.28,18,Urban,1,0
1414,43001,3137.71,ATM Withdrawal,5360.31,59,Rural,4,0
764,45002,3574.78,In-store,28418.43,32,Rural,4,0
656,75672,3908.38,ATM Withdrawal,27623.25,18,Suburban,3,0
4798,46675,1340.79,Online,62501.09,68,Rural,0,0
3850,27056,2031.14,Online,7463.61,67,Suburban,0,0
4154,5283,1621.35,In-store,90354.03,77,Rural,4,0
469,27350,3950.28,In-store,15284.06,52,Urban,4,0
158,6776,4584.79,In-store,95441.03,19,Rural,3,0
1296,20581,3364.11,Online,49215.51,79,Urban,2,0
498,59031,556.93,In-store,71497.7,42,Rural,3,0
4741,65982,1783.03,Online,76342.33,68,Suburban,3,0
2941,64307,2343.54,Online,86758.35,79,Urban,3,0
3457,7016,1839.89,ATM Withdrawal,57009.1,44,Suburban,1,0
374,48747,69.16,In-store,98884.88,47,Urban,1,0
80,39099,3407.08,Online,16980.32,37,Suburban,1,0
1554,61246,577.7,Online,47314.06,34,Urban,4,0
1670,83309,1270.67,In-store,90858.64,29,Urban,1,0
2132,81437,2342.03,ATM Withdrawal,82145.39,76,Urban,3,0
4440,64551,4893.29,ATM Withdrawal,82936.66,71,Rural,3,0
466,38494,1536.89,ATM Withdrawal,59923.52,24,Rural,1,0
249,59040,227.43,ATM Withdrawal,54152.68,20,Urban,3,0
932,42929,3368.06,In-store,94449.35,54,Urban,4,0
1336,11122,2586.53,Online,87642.81,22,Suburban,4,0
4525,35618,1202.07,ATM Withdrawal,61873.5,18,Urban,4,0
1339,83441,1450.93,Online,79364.81,72,Suburban,4,0
1407,32913,2226.92,ATM Withdrawal,94064.1,69,Suburban,1,0
1091,4757,3444.36,Online,14653.68,44,Urban,2,0
4210,5103,1489.07,In-store,66599.92,62,Urban,4,0
743,61886,609.35,Online,96277.78,34,Urban,0,0
2324,51431,2144.99,In-store,81654.22,71,Rural,0,0
3602,55350,3419.7,In-store,70520.8,61,Suburban,0,0
2124,28982,4493.44,Online,22606.36,78,Rural,4,0
2095,10106,347.47,ATM Withdrawal,58314.11,60,Urban,1,0
241,43016,611.44,ATM Withdrawal,9244.36,34,Urban,2,0
2352,64027,3335.16,Online,24519.5,62,Urban,0,0
1371,74038,1358.48,In-store,19513.78,49,Suburban,1,0
1058,47523,3965.85,In-store,74285.87,66,Suburban,4,0
4817,71386,44.34,ATM Withdrawal,62108.75,25,Rural,3,0
200,80623,973.04,Online,35064.75,19,Urban,1,1
2281,24022,278.11,Online,28816.97,69,Urban,3,0
4750,71094,1958.99,ATM Withdrawal,79675.71,41,Urban,1,0
2221,28179,1617.89,ATM Withdrawal,60806.99,53,Suburban,0,0
4772,66981,4846.84,ATM Withdrawal,4015.76,54,Rural,0,0
2820,18888,3845.77,ATM Withdrawal,53691.48,32,Rural,3,0
3151,17858,3610.19,ATM Withdrawal,39311.18,78,Rural,1,0
4257,1700,4255.17,ATM Withdrawal,90868.5,57,Suburban,4,0
3108,10058,4683.37,ATM Withdrawal,36310.08,37,Urban,2,0
1974,27598,1375.85,In-store,4524.84,20,Rural,0,0
1376,27788,2012.46,In-store,93818.02,73,Suburban,1,0
3969,70305,233.12,Online,70103.64,44,Suburban,3,0
4063,68136,1183.6,Online,55927.35,78,Suburban,4,0
4446,6859,1709.99,ATM Withdrawal,43677.11,41,Rural,3,0
3558,62507,3918.14,In-store,1292.64,52,Suburban,4,0
965,18574,4589.29,In-store,83575.96,35,Suburban,3,0
180,67172,4634.65,ATM Withdrawal,96613.1,68,Rural,1,0
3699,12867,701.69,ATM Withdrawal,6843.37,29,Urban,4,0
3822,8275,1523.57,In-store,19098.8,53,Urban,4,0
4879,57767,4485.07,In-store,38779.98,64,Rural,1,0
3900,45046,1458.65,Online,15086.93,79,Suburban,0,0
4488,3748,2983.69,ATM Withdrawal,29384.74,75,Suburban,3,0
3239,64386,4512.81,In-store,69366.93,29,Urban,4,0
2975,7368,2937.15,ATM Withdrawal,41837.45,29,Urban,0,0
3581,44864,3530.25,In-store,23334.77,62,Urban,4,0
2888,67990,365.15,In-store,23200.57,25,Suburban,2,0
2576,35525,3879.59,ATM Withdrawal,6718.84,42,Suburban,0,0
1420,29757,1996.23,In-store,58457.76,19,Rural,2,0
3908,74704,1362.16,Online,72903.17,67,Urban,2,0
4674,61799,3181.46,Online,64790.72,35,Urban,1,0
4903,75301,4994.5,ATM Withdrawal,20757.48,54,Suburban,4,0
1861,66504,2627.7,ATM Withdrawal,26974.49,58,Rural,1,0
9,60263,379.23,ATM Withdrawal,69051.65,44,Suburban,4,0
2895,2659,209.18,ATM Withdrawal,23189.97,76,Rural,2,0
2848,18058,1429.92,In-store,56089.77,41,Urban,3,0
3665,16241,3768.3,In-store,69647.91,79,Rural,4,0
145,48925,3097.1,ATM Withdrawal,59828.71,48,Urban,1,0
2105,14484,3510.71,Online,44121.3,44,Rural,1,0
3144,36268,861.67,ATM Withdrawal,8813.69,50,Suburban,2,0
842,73794,4356.7,Online,44423.45,31,Rural,1,0
1129,38565,2908.24,ATM Withdrawal,43295.0,78,Suburban,4,0
152,21976,1523.16,Online,88934.89,45,Rural,1,0
3592,44724,3470.67,In-store,38396.83,64,Suburban,2,0
1053,34560,3273.97,In-store,82171.88,64,Urban,0,0
1591,81958,4086.14,ATM Withdrawal,55891.15,40,Rural,3,0
3009,40197,4706.13,In-store,7851.09,68,Urban,4,0
2030,13673,2095.23,ATM Withdrawal,81561.41,18,Urban,1,0
3419,23782,1123.57,Online,20363.8,78,Suburban,2,0
1808,66061,4291.79,Online,19058.91,69,Suburban,3,0
2697,57326,3250.11,In-store,73738.78,32,Urban,4,0
3040,5482,4678.81,Online,16704.91,58,Urban,4,0
473,76797,4079.03,ATM Withdrawal,70641.62,24,Rural,3,0
3290,16859,1212.22,In-store,4195.49,65,Urban,4,0
4075,45800,4182.93,ATM Withdrawal,60310.36,61,Urban,0,0
3497,29796,359.59,In-store,16639.8,71,Urban,3,0
280,19830,2355.28,Online,70126.87,76,Urban,1,0
1742,15313,194.75,In-store,66536.67,21,Urban,1,0
4625,39350,4231.59,In-store,32381.81,69,Rural,0,0
2887,22746,1529.47,Online,64618.9,49,Suburban,0,0
1942,25426,2873.34,Online,97019.43,25,Urban,4,0
101,64505,479.55,ATM Withdrawal,9597.01,22,Rural,2,0
2805,9752,4369.1,In-store,91907.72,71,Rural,0,0
3571,24472,3886.89,Online,3575.02,28,Suburban,0,0
3685,67293,201.58,In-store,81301.06,73,Suburban,4,0
3662,80360,4559.2,ATM Withdrawal,17895.45,20,Suburban,2,0
531,54098,1799.61,Online,55901.48,72,Rural,4,0
1887,9110,3884.69,Online,46401.43,79,Suburban,3,0
682,47926,3379.13,In-store,29214.76,20,Suburban,1,0
3795,34681,3533.89,In-store,97353.37,61,Rural,4,0
3945,1538,549.07,In-store,14445.91,39,Urban,4,1
4667,57124,2938.86,Online,17487.71,25,Urban,3,0
2019,3654,4942.46,In-store,70045.95,35,Suburban,0,0
1097,46163,2822.41,ATM Withdrawal,38472.27,38,Urban,4,0
830,73688,3288.92,ATM Withdrawal,11448.88,36,Suburban,4,1
2806,55426,2509.6,Online,51204.46,76,Suburban,4,0
3830,60315,4404.53,ATM Withdrawal,58463.44,68,Suburban,2,0
4382,79930,2860.7,In-store,27529.72,74,Urban,1,0
3892,85731,3824.63,ATM Withdrawal,42933.27,69,Suburban,4,0
765,6254,2895.31,In-store,89952.74,50,Rural,4,0
2768,6530,3482.12,Online,55144.43,56,Rural,3,0
4329,10655,2140.15,ATM Withdrawal,74958.58,54,Urban,1,0
3296,29689,1108.03,Online,54325.46,73,Urban,4,0
2195,64309,4841.08,Online,78563.57,71,Rural,1,0
2358,47241,3192.11,In-store,75190.5,20,Urban,3,0
3426,34324,4575.5,In-store,18484.58,32,Rural,0,0
3980,18624,3013.75,ATM Withdrawal,81034.36,36,Urban,1,0
912,20128,281.75,In-store,32994.46,20,Urban,4,0
3146,75749,4389.36,In-store,40230.78,39,Suburban,0,0
1000,32265,4757.03,ATM Withdrawal,47305.81,21,Suburban,2,0
3654,65344,917.84,In-store,22147.97,59,Urban,3,0
2484,35851,2598.91,Online,32614.06,75,Suburban,3,0
4077,54330,677.07,Online,50538.59,66,Urban,3,0
2371,26189,4967.9,ATM Withdrawal,18111.52,26,Rural,2,0
4839,30676,3795.38,ATM Withdrawal,86154.58,26,Rural,2,0
34,56886,1092.08,In-store,18437.97,64,Rural,1,0
3790,30099,1374.71,ATM Withdrawal,28905.31,59,Urban,1,0
1021,14153,3589.95,ATM Withdrawal,75866.63,30,Rural,0,0
1648,15251,3205.48,Online,75684.76,50,Suburban,4,0
734,81317,305.45,Online,52743.61,35,Rural,0,0
4583,78824,4216.67,In-store,92129.39,28,Rural,2,0
3275,80388,2339.28,ATM Withdrawal,34821.67,58,Urban,4,0
1621,48290,2906.5,ATM Withdrawal,93776.16,40,Urban,0,0
3136,74878,3242.63,Online,15506.85,46,Rural,2,0
2690,68673,1307.73,Online,45134.49,64,Rural,2,0
2708,12819,1343.26,Online,59410.23,72,Rural,3,0
298,45714,7.73,ATM Withdrawal,30459.7,37,Rural,0,0
2340,63530,191.21,ATM Withdrawal,56097.11,42,Suburban,3,0
654,70340,562.71,In-store,19527.19,64,Suburban,0,0
3775,20058,4278.09,Online,2782.51,69,Suburban,3,0
1256,53002,873.77,In-store,77064.26,50,Suburban,1,0
4521,28302,1039.65,In-store,83559.25,62,Urban,0,0
231,16646,857.3,Online,95151.22,45,Suburban,1,0
3277,75774,2318.29,Online,40104.48,77,Rural,4,0
3231,15848,3379.79,In-store,79081.56,28,Urban,3,0
692,69172,2170.83,ATM Withdrawal,62573.1,34,Urban,4,0
2755,21384,1631.2,ATM Withdrawal,33185.76,41,Rural,1,0
4864,19692,2091.24,In-store,3599.66,40,Urban,0,0
970,11246,3123.7,In-store,4653.54,65,Urban,2,0
634,61529,850.19,In-store,19443.98,23,Rural,2,0
4093,55276,3882.66,In-store,82682.31,46,Rural,3,0
4078,51707,2855.39,Online,95182.15,79,Suburban,1,0
1322,77454,3083.95,Online,73413.62,65,Urban,3,0
1832,82189,2470.4,ATM Withdrawal,74442.16,69,Urban,1,0
2179,52290,4495.22,Online,37850.78,55,Rural,3,0
1418,806,1178.71,ATM Withdrawal,3457.61,24,Suburban,0,0
1783,72099,2184.35,Online,62645.12,72,Urban,0,0
4716,85238,4337.52,Online,11886.92,71,Suburban,2,0
4702,10692,1960.31,ATM Withdrawal,7173.27,56,Rural,4,0
4119,69212,4913.42,Online,31524.26,64,Rural,1,0
1653,28541,1905.07,In-store,12614.23,33,Urban,3,0
1484,33742,793.08,Online,78966.56,76,Urban,2,0
2276,70017,2922.4,In-store,8372.15,45,Suburban,4,0
878,13046,4102.94,In-store,24726.98,56,Rural,3,1
3526,80769,3350.18,Online,14510.9,41,Urban,4,0
2017,72588,3850.34,In-store,66812.7,55,Urban,1,0
427,60403,1412.03,Online,90071.61,20,Rural,0,0
627,11023,3453.94,In-store,30998.38,28,Urban,3,0
1590,6540,4259.38,Online,92546.13,20,Rural,4,0
2224,35262,4299.84,In-store,17394.19,32,Rural,1,0
2218,77452,628.78,In-store,2301.72,55,Suburban,2,0
4484,203,2380.63,Online,59814.63,19,Rural,0,0
1486,80199,4113.69,In-store,60970.29,71,Suburban,3,1
1740,21288,3142.41,Online,14029.89,79,Rural,2,0
2481,47701,4953.75,ATM Withdrawal,67963.62,55,Suburban,3,0
2585,81906,2708.44,In-store,69887.29,33,Rural,1,0
2894,65677,4366.68,In-store,90349.68,72,Suburban,3,0
150,75766,2298.79,In-store,40479.07,61,Suburban,4,0
677,75880,906.95,ATM Withdrawal,37677.36,25,Rural,4,0
1262,23150,607.95,In-store,68719.07,23,Rural,2,0
4918,55021,1881.63,In-store,55796.69,23,Suburban,2,0
13,64820,1132.15,In-store,80345.58,38,Urban,4,0
1834,71260,3684.4,Online,65090.44,20,Urban,3,0
3249,358,3663.77,Online,63225.78,76,Urban,3,1
1492,3020,3075.71,Online,93613.74,75,Urban,1,0
2728,22263,1434.55,ATM Withdrawal,76357.57,70,Urban,4,0
3687,38405,2787.59,ATM Withdrawal,76088.73,46,Urban,2,0
1425,80435,235.92,Online,95394.12,23,Urban,0,0
4606,4627,4148.51,Online,412.12,47,Rural,2,0
4596,23470,2691.15,In-store,77811.23,73,Urban,1,0
732,53682,643.85,Online,17211.93,63,Rural,2,0
1232,16725,4138.55,Online,55631.52,23,Suburban,3,0
1635,8711,1152.37,ATM Withdrawal,33876.99,56,Suburban,4,0
3937,84444,277.69,In-store,41523.55,50,Urban,2,0
1211,60774,3504.63,In-store,93412.58,23,Urban,1,0
3269,44695,3925.25,ATM Withdrawal,35687.53,26,Suburban,0,0
1935,25923,3420.19,In-store,33088.21,57,Suburban,2,0
554,77052,1758.36,ATM Withdrawal,11928.32,22,Urban,2,0
492,85999,3652.73,ATM Withdrawal,27920.4,36,Urban,0,0
2963,58929,3821.49,ATM Withdrawal,81228.96,65,Rural,4,0
2330,7099,618.71,ATM Withdrawal,67103.95,48,Suburban,0,0
2196,29984,740.11,Online,45878.86,71,Rural,2,0
3065,8210,3726.46,Online,61571.07,25,Urban,2,0
658,84791,3139.1,ATM Withdrawal,37545.57,37,Suburban,2,0
2375,61558,3624.21,Online,22160.41,54,Urban,4,0
2226,18268,3039.28,Online,75698.23,39,Rural,0,0
4265,41605,4439.41,Online,52959.44,55,Urban,0,0
1171,6150,206.3,ATM Withdrawal,74771.41,24,Suburban,1,0
133,55820,2797.47,In-store,4184.62,30,Urban,3,0
472,75353,1728.78,ATM Withdrawal,73844.35,19,Urban,1,0
3226,59500,3450.44,In-store,72603.08,73,Suburban,3,0
1406,55619,935.47,ATM Withdrawal,13215.56,36,Urban,0,0
2877,55267,2928.22,ATM Withdrawal,63546.54,65,Suburban,4,0
4505,28901,3614.93,In-store,86117.99,57,Suburban,2,0
4693,77694,113.72,ATM Withdrawal,87132.98,71,Urban,4,0
2827,12763,2374.13,In-store,67182.52,29,Urban,4,0
288,5895,305.97,In-store,85891.65,27,Urban,4,0
1870,28404,1302.76,Online,93169.71,62,Suburban,0,0
3115,17154,4174.66,Online,67106.38,22,Rural,4,0
3626,2204,2522.62,Online,65724.72,65,Rural,2,0
2313,30911,2446.91,ATM Withdrawal,86057.02,55,Urban,4,0
4924,32551,3137.9,ATM Withdrawal,1155.63,32,Rural,1,0
1619,76961,657.93,Online,81945.18,22,Rural,3,0
995,82870,610.28,Online,67823.3,75,Suburban,0,0
1804,26723,485.99,ATM Withdrawal,74311.04,18,Suburban,4,0
2643,48330,4437.32,In-store,13402.0,53,Suburban,0,0
4803,15916,794.03,In-store,13552.43,48,Rural,4,0
3536,57505,27.99,In-store,30288.33,38,Suburban,4,0
4832,52509,1848.85,ATM Withdrawal,50657.74,43,Suburban,1,0
3912,27128,2848.04,Online,90069.13,32,Urban,0,0
2108,73794,654.23,Online,51369.94,46,Rural,3,0
3045,4648,3851.37,Online,8866.83,68,Urban,1,0
417,13284,3901.96,ATM Withdrawal,78530.71,22,Urban,3,0
978,54917,3358.27,Online,68516.96,36,Urban,1,0
2418,43950,707.08,In-store,40231.42,62,Urban,4,0
506,43286,1075.37,In-store,8617.3,41,Suburban,4,0
4153,69906,3641.19,ATM Withdrawal,23186.54,48,Suburban,4,0
4256,59848,4372.2,In-store,28225.36,26,Rural,4,0
3942,66899,274.37,ATM Withdrawal,89096.68,31,Suburban,2,0
415,67215,4973.43,Online,63535.47,28,Suburban,3,0
4149,58671,529.9,In-store,13640.93,70,Rural,3,0
1184,42880,2982.57,Online,32979.0,31,Suburban,1,0
486,44425,3070.28,In-store,47954.47,38,Rural,1,0
894,79239,1521.91,In-store,26113.26,34,Suburban,3,0
806,79714,757.7,Online,69580.89,73,Suburban,3,0
556,1542,121.53,Online,14060.09,36,Rural,3,0
3826,39464,4572.29,ATM Withdrawal,26546.48,30,Suburban,4,0
1198,45648,3333.99,Online,30684.25,53,Rural,2,1
4254,27518,1891.66,ATM Withdrawal,12370.37,25,Rural,2,0
4059,67054,4529.35,ATM Withdrawal,58415.65,77,Urban,4,0
1294,75186,316.47,ATM Withdrawal,20308.57,50,Suburban,0,0
2222,52188,4096.35,ATM Withdrawal,52431.92,30,Suburban,2,0
3505,63115,4405.14,ATM Withdrawal,57772.91,53,Suburban,1,1
3655,33840,2158.87,In-store,61502.77,49,Rural,3,0
4759,37842,1427.52,Online,17091.14,51,Rural,1,0
3007,42070,2000.75,Online,6057.79,48,Suburban,0,1
2094,54624,2201.46,Online,76248.45,55,Rural,0,0
2188,52130,3362.07,In-store,59364.45,25,Suburban,3,0
3037,17087,2543.91,ATM Withdrawal,76798.03,45,Urban,4,0
3919,2800,4224.11,Online,82067.89,26,Suburban,3,0
1273,45420,4065.93,In-store,20636.62,70,Rural,2,0
291,49377,4819.15,Online,6395.38,35,Suburban,4,0
4828,82806,3153.55,In-store,59014.79,60,Urban,4,0
253,32711,175.66,In-store,12923.23,59,Rural,3,0
3246,62443,3502.57,In-store,71705.97,71,Suburban,3,0
351,77575,1268.92,ATM Withdrawal,70000.66,25,Suburban,0,0
1188,76918,531.52,ATM Withdrawal,83242.95,70,Suburban,4,0
1962,22612,2155.49,Online,15716.09,30,Suburban,4,0
423,44078,1163.47,ATM Withdrawal,78450.15,38,Urban,2,0
91,48190,1391.22,In-store,17663.41,67,Rural,4,0
3730,10211,4418.78,Online,87349.17,70,Suburban,1,0
2237,46332,3675.4,ATM Withdrawal,45512.89,70,Urban,3,0
671,20309,4052.53,ATM Withdrawal,10148.51,74,Rural,2,0
3041,65333,2988.47,ATM Withdrawal,28187.19,48,Rural,3,0
27,18431,159.86,In-store,44715.27,44,Urban,4,0
430,35247,3857.79,Online,54808.3,19,Urban,0,0
684,12763,2843.19,Online,99901.05,55,Rural,0,0
4464,12226,3302.27,Online,21563.12,72,Rural,0,0
3946,36176,2835.6,Online,48273.01,78,Rural,3,0
3524,24972,1465.33,In-store,87372.06,32,Urban,2,0
1542,72545,1622.32,ATM Withdrawal,53471.42,68,Suburban,4,0
2032,80758,3545.11,Online,77798.05,20,Rural,0,0
2233,79364,598.12,Online,82039.92,74,Rural,4,0
4121,68498,2077.78,ATM Withdrawal,68883.59,49,Suburban,4,0
3236,5498,3545.93,ATM Withdrawal,42399.33,54,Rural,4,0
255,53351,151.08,In-store,58589.9,56,Rural,0,0
1030,73319,2383.16,Online,66069.3,18,Suburban,4,0
4393,47664,3254.68,Online,83573.91,53,Urban,4,0
3801,84700,3152.61,ATM Withdrawal,33759.13,77,Suburban,2,0
4311,84607,1149.28,In-store,61026.1,51,Rural,4,0
2510,37804,2677.79,ATM Withdrawal,95073.74,67,Urban,2,0
2293,53744,532.22,In-store,62883.94,61,Urban,2,0
1324,37641,1731.64,In-store,34762.01,35,Rural,0,0
1551,29257,1789.42,Online,36419.27,22,Urban,3,0
4648,31085,1342.43,In-store,85768.9,33,Urban,0,0
316,54240,2057.46,In-store,8675.64,47,Urban,0,0
1243,11664,3693.98,Online,49458.66,75,Rural,3,0
2451,18037,1775.3,Online,93136.73,44,Urban,1,0
1579,57372,279.48,In-store,10310.91,33,Suburban,1,0
4626,46223,1782.48,ATM Withdrawal,78798.37,52,Rural,0,0
3117,60058,2417.53,In-store,93581.72,23,Rural,2,0
70,40397,4640.58,In-store,26550.24,68,Urban,3,0
860,34529,1178.88,Online,61628.88,62,Suburban,0,0
2754,6710,578.41,Online,18898.34,60,Urban,3,0
1633,36444,1334.59,In-store,24102.44,41,Suburban,3,0
1651,47837,14.54,Online,93813.45,64,Suburban,1,1
3861,3832,2785.48,Online,22645.94,36,Rural,2,0
3107,34610,25.42,ATM Withdrawal,95279.01,34,Suburban,4,0
1075,73509,2391.32,Online,21054.88,55,Suburban,4,0
4002,24335,4663.27,ATM Withdrawal,44506.45,79,Urban,2,0
788,16907,689.01,Online,32566.69,44,Rural,3,0
2606,7736,4460.4,ATM Withdrawal,90210.06,45,Rural,2,0
3631,58585,356.83,ATM Withdrawal,4876.85,27,Urban,3,0
2122,68910,4674.53,In-store,54127.15,21,Urban,1,0
1875,25611,3447.4,In-store,57414.88,35,Suburban,3,0
812,28699,2141.49,In-store,31257.83,74,Rural,3,0
388,82750,1129.41,Online,23651.74,29,Urban,3,0
2883,56526,1795.64,ATM Withdrawal,10449.36,29,Urban,4,0
1176,53394,1937.94,In-store,12699.0,77,Rural,1,0
3198,47093,838.18,ATM Withdrawal,35594.83,19,Rural,0,0
2624,50057,3981.63,In-store,97788.18,21,Urban,2,0
1352,35435,2577.01,ATM Withdrawal,68889.46,39,Suburban,2,0
411,16964,2863.64,ATM Withdrawal,52583.34,75,Urban,2,0
4213,18452,3434.65,In-store,43454.54,31,Urban,0,0
110,79575,1583.62,In-store,65093.44,42,Suburban,4,0
4996,78484,2676.73,ATM Withdrawal,5178.18,39,Suburban,1,0
3430,16566,3801.8,ATM Withdrawal,7342.61,55,Rural,3,0
2810,15036,1435.65,In-store,3939.05,57,Rural,4,0
2595,15078,3032.32,Online,80043.4,47,Rural,1,0
2837,13230,2652.59,In-store,36161.05,38,Rural,2,1
2373,59560,3363.55,Online,37897.71,74,Suburban,3,0
1236,82565,703.6,In-store,18013.35,54,Rural,0,0
2147,65061,1447.89,ATM Withdrawal,97799.81,29,Rural,0,0
4976,6589,4160.64,ATM Withdrawal,15792.66,31,Rural,1,0
600,28016,971.62,ATM Withdrawal,3077.0,48,Urban,4,0
1435,40042,1370.67,Online,59285.07,54,Rural,2,0
4997,13026,3524.27,Online,29369.55,45,Rural,0,0
539,1062,3017.07,Online,22356.22,27,Urban,0,0
722,42808,305.58,ATM Withdrawal,78133.57,67,Suburban,2,0
4411,77299,1652.21,In-store,13087.69,28,Rural,3,0
1873,64178,3435.02,ATM Withdrawal,33751.31,37,Urban,3,0
2846,72516,3836.09,In-store,31673.52,65,Suburban,3,0
2054,64174,3175.01,In-store,9062.17,71,Suburban,4,0
2908,53909,2005.01,Online,76619.22,78,Urban,3,0
2255,66918,3484.08,Online,11775.45,23,Urban,4,0
3913,68368,3692.02,ATM Withdrawal,5212.86,46,Rural,2,0
178,65318,1389.32,ATM Withdrawal,90706.73,68,Rural,0,0
2891,15223,3963.67,In-store,67769.8,47,Rural,3,0
3674,21625,2293.79,Online,72683.22,57,Suburban,1,0
81,8571,4700.98,Online,46724.86,40,Urban,2,0
